Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,74.059998,75.150002,73.797501,75.087502,73.152641,135480400
2020-01-03,74.287498,75.144997,74.125000,74.357498,72.441467,146322800
2020-01-06,73.447502,74.989998,73.187500,74.949997,73.018684,118387200
2020-01-07,74.959999,75.224998,74.370003,74.597504,72.675278,108872000
2020-01-08,74.290001,76.110001,74.290001,75.797501,73.844345,132079200
2020-01-09,76.809998,77.607498,76.550003,77.407501,75.412872,170108400
2020-01-10,77.650002,78.167503,77.062500,77.582497,75.583359,140644800
2020-01-13,77.910004,79.267502,77.787498,79.239998,77.198143,121532000
2020-01-14,79.175003,79.392502,78.042503,78.169998,76.155724,161954400
2020-01-15,77.962502,78.875000,77.387497,77.834999,75.829346,121923600
2020-01-16,78.397499,78.925003,78.022499,78.809998,76.779228,108829200
2020-01-17,79.067497,79.684998,78.750000,79.682503,77.629234,137816400
2020-01-21,79.297501,79.754997,79.000000,79.142502,77.103165,110843200
2020-01-22,79.644997,79.997498,79.327499,79.425003,77.378387,101832400
2020-01-23,79.480003,79.889999,78.912498,79.807503,77.751038,104472000
2020-01-24,80.062500,80.832497,79.379997,79.577499,77.526970,146537600
2020-01-27,77.514999,77.942497,76.220001,77.237503,75.247246,161940000
2020-01-28,78.150002,79.599998,78.047501,79.422501,77.375938,162234000
2020-01-29,81.112503,81.962502,80.345001,81.084999,78.995613,216229200
2020-01-30,80.135002,81.022499,79.687500,80.967499,78.881119,126743200
2020-01-31,80.232498,80.669998,77.072502,77.377502,75.383652,199588400
2020-02-03,76.074997,78.372498,75.555000,77.165001,75.176605,173788400
2020-02-04,78.827499,79.910004,78.407501,79.712502,77.658470,136616400
2020-02-05,80.879997,81.190002,79.737503,80.362503,78.291725,118826800
2020-02-06,80.642502,81.305000,80.065002,81.302498,79.207489,105425600
2020-02-07,80.592499,80.849998,79.500000,80.007500,78.130867,117684000
2020-02-10,78.544998,80.387497,78.462502,80.387497,78.501930,109348800
2020-02-11,80.900002,80.974998,79.677498,79.902496,78.028297,94323200
2020-02-12,80.367500,81.805000,80.367500,81.800003,79.881325,113730400
2020-02-13,81.047501,81.555000,80.837502,81.217499,79.312477,94747600
2020-02-14,81.184998,81.495003,80.712502,81.237503,79.332008,80113600
2020-02-18,78.839996,79.937500,78.652496,79.750000,77.879379,152531200
2020-02-19,80.000000,81.142502,80.000000,80.904999,79.007309,93984000
2020-02-20,80.657501,81.162498,79.552498,80.074997,78.196770,100566000
2020-02-21,79.654999,80.112503,77.625000,78.262497,76.426781,129554000
2020-02-24,74.315002,76.044998,72.307503,74.544998,72.796471,222195200
2020-02-25,75.237503,75.632500,71.532501,72.019997,70.330711,230673600
2020-02-26,71.632500,74.470001,71.625000,73.162498,71.446411,198054800
2020-02-27,70.275002,71.500000,68.239998,68.379997,66.776093,320605600
2020-02-28,64.315002,69.602501,64.092499,68.339996,66.737022,426510000
2020-03-02,70.570000,75.360001,69.430000,74.702499,72.950294,341397200
2020-03-03,75.917503,76.000000,71.449997,72.330002,70.633430,319475600
2020-03-04,74.110001,75.849998,73.282501,75.684998,73.909744,219178400
2020-03-05,73.879997,74.887497,72.852501,73.230003,71.512329,187572800
2020-03-06,70.500000,72.705002,70.307503,72.257500,70.562645,226176800
2020-03-09,65.937500,69.522499,65.750000,66.542503,64.981697,286744800
2020-03-10,69.285004,71.610001,67.342499,71.334999,69.661774,285290000
2020-03-11,69.347504,70.305000,67.964996,68.857498,67.242393,255598800
2020-03-12,63.985001,67.500000,62.000000,62.057499,60.601887,418474000
2020-03-13,66.222504,69.980003,63.237499,69.492500,67.862495,370732000
2020-03-16,60.487499,64.769997,60.000000,60.552502,59.132191,322423600
2020-03-17,61.877499,64.402496,59.599998,63.215000,61.732243,324056000
2020-03-18,59.942501,62.500000,59.279999,61.667500,60.221043,300233600
2020-03-19,61.847500,63.209999,60.652500,61.195000,59.759613,271857200
